2012-06-11 14:44:37 startup archives install
2012-06-11 14:44:37 install base-files <none> 6.0squeeze5
2012-06-11 14:44:37 status half-installed base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 install base-passwd <none> 3.5.22
2012-06-11 14:44:37 status half-installed base-passwd 3.5.22
2012-06-11 14:44:37 status unpacked base-passwd 3.5.22
2012-06-11 14:44:37 status unpacked base-passwd 3.5.22
2012-06-11 14:44:37 configure base-passwd 3.5.22 3.5.22
2012-06-11 14:44:37 status unpacked base-passwd 3.5.22
2012-06-11 14:44:37 status half-configured base-passwd 3.5.22
2012-06-11 14:44:37 status installed base-passwd 3.5.22
2012-06-11 14:44:37 configure base-files 6.0squeeze5 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:37 status half-configured base-files 6.0squeeze5
2012-06-11 14:44:37 status installed base-files 6.0squeeze5
2012-06-11 14:44:37 startup archives install
2012-06-11 14:44:37 upgrade dpkg 1.15.8.12 1.15.8.12
2012-06-11 14:44:37 status half-configured dpkg 1.15.8.12
2012-06-11 14:44:37 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:37 status half-installed dpkg 1.15.8.12
2012-06-11 14:44:41 status half-installed dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 configure dpkg 1.15.8.12 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status unpacked dpkg 1.15.8.12
2012-06-11 14:44:41 status half-configured dpkg 1.15.8.12
2012-06-11 14:44:41 status installed dpkg 1.15.8.12
2012-06-11 14:44:41 startup archives install
2012-06-11 14:44:41 install libc6 <none> 2.11.3-3
2012-06-11 14:44:41 status half-installed libc6 2.11.3-3
2012-06-11 14:44:42 status unpacked libc6 2.11.3-3
2012-06-11 14:44:42 status unpacked libc6 2.11.3-3
2012-06-11 14:44:42 configure libc6 2.11.3-3 2.11.3-3
2012-06-11 14:44:42 status unpacked libc6 2.11.3-3
2012-06-11 14:44:42 status unpacked libc6 2.11.3-3
2012-06-11 14:44:42 status half-configured libc6 2.11.3-3
2012-06-11 14:44:43 status installed libc6 2.11.3-3
2012-06-11 14:44:43 startup archives install
2012-06-11 14:44:43 install perl-base <none> 5.10.1-17squeeze3
2012-06-11 14:44:43 status half-installed perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 status unpacked perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 status unpacked perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 configure perl-base 5.10.1-17squeeze3 5.10.1-17squeeze3
2012-06-11 14:44:44 status unpacked perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 status half-configured perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 status installed perl-base 5.10.1-17squeeze3
2012-06-11 14:44:44 startup archives install
2012-06-11 14:44:44 install mawk <none> 1.3.3-15
2012-06-11 14:44:44 status half-installed mawk 1.3.3-15
2012-06-11 14:44:44 status unpacked mawk 1.3.3-15
2012-06-11 14:44:44 status unpacked mawk 1.3.3-15
2012-06-11 14:44:44 configure mawk 1.3.3-15 1.3.3-15
2012-06-11 14:44:44 status unpacked mawk 1.3.3-15
2012-06-11 14:44:44 status half-configured mawk 1.3.3-15
2012-06-11 14:44:44 status installed mawk 1.3.3-15
2012-06-11 14:44:44 startup archives unpack
2012-06-11 14:44:44 install libacl1 <none> 2.2.49-4
2012-06-11 14:44:44 status half-installed libacl1 2.2.49-4
2012-06-11 14:44:44 status unpacked libacl1 2.2.49-4
2012-06-11 14:44:44 status unpacked libacl1 2.2.49-4
2012-06-11 14:44:44 install libattr1 <none> 1:2.4.44-2
2012-06-11 14:44:44 status half-installed libattr1 1:2.4.44-2
2012-06-11 14:44:44 status unpacked libattr1 1:2.4.44-2
2012-06-11 14:44:44 status unpacked libattr1 1:2.4.44-2
2012-06-11 14:44:44 upgrade base-files 6.0squeeze5 6.0squeeze5
2012-06-11 14:44:44 status half-configured base-files 6.0squeeze5
2012-06-11 14:44:44 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:44 status half-installed base-files 6.0squeeze5
2012-06-11 14:44:44 status half-installed base-files 6.0squeeze5
2012-06-11 14:44:44 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:44 status unpacked base-files 6.0squeeze5
2012-06-11 14:44:44 upgrade base-passwd 3.5.22 3.5.22
2012-06-11 14:44:44 status half-configured base-passwd 3.5.22
2012-06-11 14:44:44 status unpacked base-passwd 3.5.22
2012-06-11 14:44:44 status half-installed base-passwd 3.5.22
2012-06-11 14:44:44 status half-installed base-passwd 3.5.22
2012-06-11 14:44:45 status unpacked base-passwd 3.5.22
2012-06-11 14:44:45 status unpacked base-passwd 3.5.22
2012-06-11 14:44:45 install bash <none> 4.1-3
2012-06-11 14:44:45 status half-installed bash 4.1-3
2012-06-11 14:44:45 status unpacked bash 4.1-3
2012-06-11 14:44:45 status unpacked bash 4.1-3
2012-06-11 14:44:45 install libbz2-1.0 <none> 1.0.5-6+squeeze1
2012-06-11 14:44:45 status half-installed libbz2-1.0 1.0.5-6+squeeze1
2012-06-11 14:44:45 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2012-06-11 14:44:45 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2012-06-11 14:44:45 install coreutils <none> 8.5-1
2012-06-11 14:44:45 status half-installed coreutils 8.5-1
2012-06-11 14:44:53 status unpacked coreutils 8.5-1
2012-06-11 14:44:53 status unpacked coreutils 8.5-1
2012-06-11 14:44:53 install dash <none> 0.5.5.1-7.4
2012-06-11 14:44:53 status half-installed dash 0.5.5.1-7.4
2012-06-11 14:44:53 status unpacked dash 0.5.5.1-7.4
2012-06-11 14:44:53 status unpacked dash 0.5.5.1-7.4
2012-06-11 14:44:53 install libdb4.8 <none> 4.8.30-2
2012-06-11 14:44:53 status half-installed libdb4.8 4.8.30-2
2012-06-11 14:44:53 status unpacked libdb4.8 4.8.30-2
2012-06-11 14:44:53 status unpacked libdb4.8 4.8.30-2
2012-06-11 14:44:53 install debconf-i18n <none> 1.5.36.1
2012-06-11 14:44:53 status half-installed debconf-i18n 1.5.36.1
2012-06-11 14:44:53 status unpacked debconf-i18n 1.5.36.1
2012-06-11 14:44:53 status unpacked debconf-i18n 1.5.36.1
2012-06-11 14:44:53 install debconf <none> 1.5.36.1
2012-06-11 14:44:53 status half-installed debconf 1.5.36.1
2012-06-11 14:44:54 status unpacked debconf 1.5.36.1
2012-06-11 14:44:54 status unpacked debconf 1.5.36.1
2012-06-11 14:44:54 install debianutils <none> 3.4
